id,first_name,last_name,password,checking,savings,active,overdraft_count
10001,William,Hartnell,4fg56,100,False,True,0
10002,Patrick,Troughton,serf,False,200,True,1
10003,Jon ,Pertwee,233!,-65,250,False,2
10004,Tom ,Baker,ee,0,False,True,0
10005,Peter ,Davison,werf345,58,False,False,4
10006,Suresh ,Sigera,wergt,63,False,False,3
10007,James ,Taylor,#@FG,-10,0,False,2
10008,Melvin ,Gordon,GD4dS,-35,2567,True,1
10009,Devlin,Booth,123456,800.0,152.0,True,0
10010,turki,almalki,9706,1000000860.0,-85.0,True,1
10011,turki,almalki,9706,False,False,True,0
10012,turki,almalki,1122,False,False,True,0
10013,turki,almalki,0000,False,False,True,0
10014,ttt,mmm,711,False,False,True,0
